L_Come;L_Interlocut;Customer Account # / Cliente;Customer Name/Solic;Customer Name2;RUTA VENTA;City;Calle;LATITUT;LONGITUTD;FRECUENCIA
FSE;210375;11562817;COESTI SA;EJERCITO;ZBO;MIRAFLORES;AV EL EJERCITO 412-422;-12.11636;-77.0449;MXJVS
FSE;210374;11608197;COESTI SA;LISTO SALAVERRY 3;ZBO;SAN ISIDRO;AV SALAVERRY 2415 SAN ISIDRO;-12.0898646;-77.0513525;LXV
FSE;210375;11608199;COESTI SA;LISTO ARAMBURU 2;ZBO;SURQUILLO;CA LOS CODORNICES 287 SURQUILLO RE;-12.1025855;-77.0226657;LXV
FSE;210368;11612213;COESTI SA;TOMAS VALLE;ZBO;LOS OLIVOS;AV TOMAS VALLE ESQ AV BETA S/N LOS;-12.0103327;-77.070189;LJ
FSE;204571;11612222;COESTI SA;E/S ESCARDÓ;ZBO;SAN MIGUEL;AV RAFAEL ESCARDO 250 SAN MIGUEL;-12.080767;-77.0947435;MJ
FSE;210371;11612223;COESTI SA;ES PRINCIPAL;ZBO;SAN ISIDRO;AV JOSE GALVEX BARRENECHEA 1105;-12.1074886;-77.0101609;LXV
FSE;210375;11612226;COESTI SA;MIRAFLORES;ZBO;MIRAFLORES;AV PASEO DE LA REPUBLICA 5790;-12.1235226;-77.0248119;MXJVS
FSE;205859;11612227;COESTI SA;ATE;ZBO;ATE;CAR CENTRAL KM 16.50 HUAYCAN;-11.9988797;-76.8372722;LV
FSE;204576;11612228;COESTI SA;BOLIVAR;ZBO;PUEBLO LIBRE;AV BOLIVAR 1020;-12.0719588;-77.0646439;J
FSE;210375;11612229;COESTI SA;E/S PASEO DE LA REPUBLICA;ZBO;MIRAFLORES;AV PASEO DE LA REPUBLICA 5545;-12.1194269;-77.0252205;MXJVS
FSE;205356;11612231;COESTI SA;SALAVERRY;ZBO;MAGDALENA DEL MAR;CA SALAVERRY 478;-12.0942741;-77.0746755;MV
FSE;204576;11612236;COESTI SA;COLONIAL II;ZBO;LIMA;AV OSCAR BENAVIDES 300;-12.046425;-77.0482007;X
